호선,역번호,역명,hour,승차_Weekday,승차_Saturday,승차_Sunday,하차_Weekday,하차_Saturday,하차_Sunday,환승_Weekday,환승_Saturday,환승_Sunday,interval_Weekday,interval_Saturday,interval_Sunday,capacity,상선_Weekday,상선_Saturday,상선_Sunday,하선_Weekday,하선_Saturday,하선_Sunday
1,124,청량리,06시이전,430.492,344.7843137254902,156.6346153846154,164.79365079365078,134.05882352941177,45.65384615384615,331.1997460178719,323.35434864141376,152.1750233397253,5.0,5.0,5.0,1576,7.6,7.5,3.5,19.3,13.5,6.8
1,124,청량리,06-07시간대,580.0607287449393,311.3207547169811,180.65384615384616,826.7265306122449,762.0,205.55769230769232,782.695807263438,724.7946279745228,290.534365788735,5.0,5.0,5.0,1576,5.4,5.15,3.3499999999999996,22.6,14.65,8.35
1,124,청량리,07-08시간대,1500.7732793522266,439.9807692307692,267.1730769230769,638.4534412955466,450.1698113207547,269.5192307692308,1190.2039728466177,601.1030309781635,403.7361490032373,3.0,5.0,5.0,1576,8.55,7.55,5.45,50.099999999999994,15.25,8.55
1,124,청량리,08-09시간대,1888.6923076923076,686.7692307692307,473.7692307692308,1379.4736842105262,764.9807692307693,414.13461538461536,1818.313182955711,980.3412414581218,667.9411543510274,3.0,5.0,5.0,1576,14.350000000000001,13.9,10.9,61.95,22.85,14.149999999999999
1,124,청량리,09-10시간대,1045.704,896.6862745098039,682.8461538461538,1158.55859375,1005.96,577.5384615384615,1226.3880545976065,1284.8235652203282,948.1463095052377,5.0,5.0,5.0,1576,14.450000000000001,12.1,9.149999999999999,39.400000000000006,24.95,18.3
1,124,청량리,10-11시간대,924.1867704280156,1084.1176470588234,796.8269230769231,1217.104,1312.0816326530612,826.6538461538462,1191.35235054071,1618.1112289676641,1221.2917240577003,5.0,5.0,5.0,1576,11.8,12.100000000000001,10.45,30.650000000000002,30.85,23.799999999999997
1,124,청량리,11-12시간대,1110.6653225806451,1384.4285714285713,860.1923076923077,1331.758064516129,1534.66,1008.2745098039215,1358.8938426385298,1971.2091710284146,1405.5867517086729,5.0,5.0,5.0,1576,14.3,13.4,10.100000000000001,18.6,28.7,23.65
1,124,청량리,12-13시간대,1249.6825396825398,1541.02,1043.32,1287.0671936758893,1569.6,1147.08,1411.374297833448,2100.546976066446,1647.7666031384524,5.0,5.0,5.0,1576,15.8,18.700000000000003,14.75,22.5,40.3,30.25
1,124,청량리,13-14시간대,1290.616935483871,1581.5882352941176,1155.88,1419.3076923076924,1604.3,1260.3076923076924,1507.7238083188058,2151.374291534396,1817.619332678407,5.0,5.0,5.0,1576,18.0,22.450000000000003,17.25,23.95,33.75,27.799999999999997
1,124,청량리,14-15시간대,1319.3067729083666,1630.8235294117646,1189.2884615384614,1437.6516393442623,1644.2115384615386,1301.576923076923,1533.8920477967706,2211.573579650627,1873.7969291831846,5.0,5.0,5.0,1576,21.75,23.1,18.0,17.95,31.45,25.8
1,124,청량리,15-16시간대,1494.1178861788617,1796.3265306122448,1246.0392156862745,1418.9482071713148,1535.6274509803923,1195.3921568627452,1620.7458536327001,2250.009920989053,1836.6093314192603,5.0,5.0,5.0,1576,23.15,28.7,22.05,21.9,32.15,21.4
1,124,청량리,16-17시간대,1831.2588235294118,1940.86,1257.1632653061224,1283.8214285714287,1431.5294117647059,1071.3461538461538,1733.1406979919277,2277.3152558013685,1751.6618224855904,5.0,5.0,5.0,1576,27.65,26.549999999999997,19.8,26.700000000000003,27.7,19.4
1,124,청량리,17-18시간대,1788.8835341365461,1486.4117647058824,1058.3529411764705,1353.24,1281.2075471698113,941.0769230769231,1748.1867991868316,1868.924644110687,1504.105987780493,5.0,5.0,5.0,1576,36.6,31.3,23.85,24.7,32.45,23.4
1,124,청량리,18-19시간대,1496.032786885246,1090.2941176470588,866.8269230769231,1781.8218623481782,983.811320754717,789.3653846153846,1823.7036721147688,1400.6069229535656,1245.899549392891,3.0,5.0,5.0,1576,62.05,26.0,20.5,22.65,20.85,15.75
1,124,청량리,19-20시간대,753.26953125,702.6603773584906,590.1730769230769,1133.6954732510287,681.811320754717,565.0769230769231,1049.8528385526122,934.9093874922927,869.0569614114761,3.0,5.0,5.0,1576,33.1,20.3,17.35,11.55,14.25,13.0
1,124,청량리,20-21시간대,564.3255813953489,581.7169811320755,496.38461538461536,621.3636363636364,558.6792452830189,474.59615384615387,659.6832415737672,770.089514281337,730.4372186943692,5.0,5.0,5.0,1576,22.8,23.15,18.45,9.3,9.75,9.55
1,124,청량리,21-22시간대,444.54117647058825,431.03846153846155,337.5192307692308,599.0619834710744,585.75,457.11538461538464,580.6306620280689,686.6193646873835,597.7777487803774,5.0,5.0,5.0,1576,25.700000000000003,21.450000000000003,16.35,9.0,8.75,8.45
1,124,청량리,22-23시간대,267.609375,267.0,190.16,524.8188976377953,445.5576923076923,326.2307692307692,440.884207917847,481.1776770707474,388.4639626129644,5.0,5.0,5.0,1576,25.4,27.15,18.75,7.05,6.5,5.35
1,124,청량리,23-24시간대,98.15891472868218,108.48979591836735,72.88461538461539,306.9294117647059,344.4347826086956,216.55769230769232,225.3794471117225,305.85200179102293,217.73802417399048,5.0,5.0,5.0,1576,15.85,17.049999999999997,9.05,6.75,5.7,5.199999999999999
1,124,청량리,24시이후,10.544827586206896,3.5,3.1785714285714284,122.0204081632653,72.41379310344827,42.888888888888886,73.75546908024481,51.26324930244841,34.65505049420975,5.0,5.0,5.0,1576,3.05,0.0,0.0,0.2,0.0,0.0
1,125,제기동,06시이전,194.80555555555554,162.58823529411765,78.2156862745098,76.95294117647059,66.32,35.88461538461539,0.0,0.0,0.0,5.0,5.0,5.0,1576,8.2,8.5,3.4,19.5,13.8,6.9
1,125,제기동,06-07시간대,316.57894736842104,192.53846153846155,115.0,306.87795275590554,250.71153846153845,139.19230769230768,0.0,0.0,0.0,5.0,5.0,5.0,1576,8.45,9.45,4.699999999999999,21.85,14.95,8.35
1,125,제기동,07-08시간대,900.2753036437247,301.5192307692308,173.07692307692307,757.2682926829268,433.22,151.6078431372549,0.0,0.0,0.0,3.0,5.0,5.0,1576,10.3,9.7,6.55,48.150000000000006,15.4,8.9
